post_id,date,likes,comments,reposts,views,attachments,text
2384,2023-11-26 17:25:00,25,1,5,405,2,55
2382,2023-11-26 15:30:00,21,0,1,350,1,128
2381,2023-11-26 13:50:00,25,0,2,559,1,121
2378,2023-11-26 12:30:00,27,1,5,398,1,134
2372,2023-11-25 13:00:04,27,0,1,481,1,240
2370,2023-11-24 19:20:00,27,0,2,559,1,89
2368,2023-11-24 17:50:00,39,0,4,1129,4,89
2365,2023-11-24 16:45:34,22,0,2,433,1,104
2364,2023-11-23 16:50:00,28,0,2,499,2,102
2363,2023-11-23 14:30:00,39,2,9,734,4,95
2362,2023-11-23 11:30:00,22,0,1,457,1,50
2361,2023-11-23 10:00:06,22,0,1,396,1,72
2355,2023-11-22 17:10:00,22,0,1,406,1,85
2354,2023-11-22 15:30:00,30,0,9,599,1,144
2353,2023-11-22 14:10:00,29,0,8,696,4,78
2352,2023-11-22 10:30:00,23,1,2,418,1,45
2348,2023-11-21 14:45:00,21,0,2,334,1,90
2347,2023-11-21 13:00:05,24,0,3,415,1,102
2343,2023-11-20 18:00:04,24,0,18,494,1,86
2341,2023-11-20 16:00:03,25,0,3,463,2,272
2340,2023-11-20 14:10:00,41,1,13,1017,1,66
2339,2023-11-20 12:20:00,24,0,4,385,1,76
2336,2023-11-20 10:30:00,23,0,4,403,1,48
2334,2023-11-19 19:43:08,21,0,1,371,0,22
2333,2023-11-19 12:50:06,20,0,1,392,0,9
2332,2023-11-17 17:45:00,20,0,2,595,1,110
2329,2023-11-17 13:20:00,24,0,3,607,1,109
2328,2023-11-17 11:35:00,20,0,1,429,1,119
2327,2023-11-16 18:30:00,25,0,12,665,4,58
2325,2023-11-16 18:00:05,21,0,3,607,2,89
2320,2023-11-16 15:15:00,24,0,8,424,1,123
2319,2023-11-16 12:00:07,22,1,6,443,1,114
2318,2023-11-16 11:00:05,27,0,1,492,1,110
2313,2023-11-14 12:10:00,22,0,3,508,1,92
2312,2023-11-14 10:40:00,23,1,3,496,1,77
2311,2023-11-13 23:20:36,23,0,6,494,4,25
2307,2023-11-13 20:55:41,49,1,13,1365,9,108
2306,2023-11-13 18:40:00,21,0,1,456,1,79
2304,2023-11-13 11:00:02,21,0,1,421,1,40
2301,2023-11-12 13:30:00,41,1,3,683,4,138
2299,2023-11-11 17:00:00,22,0,2,537,1,84
2298,2023-11-11 12:35:00,21,0,2,461,1,107
2297,2023-11-10 14:45:00,27,0,7,971,4,93
2296,2023-11-10 13:00:04,21,1,3,433,1,79
2294,2023-11-10 10:20:00,20,0,2,477,1,104
2292,2023-11-09 16:30:00,23,0,5,929,4,88
2291,2023-11-09 14:15:00,22,0,1,394,1,82
2290,2023-11-09 12:15:00,37,0,13,1635,1,124
2287,2023-11-09 10:30:00,19,0,1,404,1,109
2286,2023-11-08 12:00:03,27,1,12,1769,1,52
2285,2023-11-08 10:30:01,21,0,3,425,1,101
2284,2023-11-08 10:00:08,35,1,3,843,3,106
2275,2023-11-07 14:00:05,24,0,8,684,1,176
2274,2023-11-07 12:30:01,22,0,1,434,1,52
2271,2023-11-06 16:30:02,24,1,2,443,0,16
2268,2023-11-05 11:05:01,22,0,1,508,1,152
2266,2023-11-04 19:20:00,24,2,8,746,1,71
2264,2023-11-04 14:15:00,22,0,3,442,1,170
2262,2023-11-03 16:20:00,39,1,25,1429,4,47
2260,2023-11-03 10:00:08,27,0,9,838,1,57
2258,2023-11-02 14:00:03,21,0,5,521,1,95
2256,2023-11-02 10:54:55,23,1,1,548,1,145
2255,2023-11-02 10:45:00,22,0,1,505,1,38
2253,2023-10-31 12:30:00,36,1,10,1017,4,52
2252,2023-10-31 10:30:00,22,0,3,576,1,49
2249,2023-10-30 20:00:01,64,0,27,1494,4,48
2247,2023-10-30 18:00:09,23,0,2,481,1,68
2245,2023-10-30 12:30:00,40,0,13,1258,3,102
2243,2023-10-30 10:30:00,21,0,3,577,2,62
2239,2023-10-27 17:00:02,19,0,2,563,1,72
2236,2023-10-27 13:10:00,34,2,6,931,4,117
2235,2023-10-27 12:25:00,20,0,3,539,1,103
2233,2023-10-26 16:03:35,20,0,3,612,1,209
2231,2023-10-26 13:30:00,78,1,20,4385,1,158
2229,2023-10-26 12:10:00,22,0,4,577,1,48
2228,2023-10-26 10:15:00,16,0,5,645,1,38
2225,2023-10-24 17:15:14,24,0,5,568,1,94
2224,2023-10-24 16:30:00,19,0,3,477,1,139
2223,2023-10-24 12:45:00,41,1,4,991,1,84
2222,2023-10-24 10:30:00,20,0,1,448,1,56
2218,2023-10-23 22:22:56,20,0,1,501,2,45
2217,2023-10-23 22:20:00,21,0,1,912,5,87
2213,2023-10-23 17:10:00,21,0,4,447,1,105
2212,2023-10-23 11:30:00,20,0,1,406,1,111
2211,2023-10-23 10:00:03,20,0,1,485,2,70
2208,2023-10-20 19:40:00,22,0,7,568,1,58
2205,2023-10-19 22:00:00,25,0,1,655,1,42
2203,2023-10-19 21:10:00,20,0,4,448,1,118
2201,2023-10-19 20:15:00,21,1,2,388,1,148
